pH,BOD,SS,DO,CG,Type
6.75,2.039,14.051,6.934,1192.424,3
7.091,0.361,22.103,6.002,399.259,3
6.969,0.41,15.157,8.427,1036.376,3
7.789,1.008,16.128,6.161,26.493,3
7.468,2.588,4.697,7.668,352.957,3
7.962,0.985,3.181,7.017,338.674,3
7.86,1.657,22.725,6.362,301.799,3
7.003,2.676,1.866,5.62,792.368,3
7.599,1.701,14.668,5.42,1502.887,3
7.109,2.768,21.01,6.726,201.776,3
6.752,1.915,4.299,5.062,1172.827,3
8.376,2.221,20.621,8.096,1180.927,3
7.255,2.742,9.242,5.674,1490.56,3
7.751,1.484,13.937,7.344,587.623,3
8.375,0.588,5.89,7.27,1930.875,3
6.526,2.219,8.893,7.358,7.168,3
7.893,2.134,8.167,5.579,18.298,3
7.294,0.639,4.381,8.6,1961.821,3
8.296,1.07,23.989,6.225,1388.919,3
7.242,2.596,5.322,5.27,118.837,3
7.177,0.071,16.141,5.945,544.991,3
8.251,0.896,7.121,9.994,1728.671,3
7.002,0.88,18.024,7.153,914.385,3
7.542,0.186,13.093,8.158,1232.708,3
8.241,0.82,0.471,8.276,1120.236,3
6.594,0.602,7.212,5.323,1047.724,3
7.812,2.387,9.14,7.368,1557.479,3
8.349,2.537,3.729,7.497,1925.257,3
8.283,1.051,24.995,6.134,1056.31,3
7.136,0.416,0.253,5.414,748.286,3
7.356,0.379,13.302,5.362,1272.459,3
6.898,1.786,6.745,7.285,1939.603,3
7.631,1.751,21.643,7.075,1917.61,3
8.158,1.493,9.186,6.063,181.226,3
8.488,2.75,18.3,9.652,751.39,3
8.302,2.833,9.094,8.904,1275.414,3
7.14,1.997,11.557,8.189,1202.417,3
7.304,2.024,10.675,6.115,601.449,3
7.742,2.331,23.389,6.111,1131.031,3
6.595,0.703,6.296,5.048,1381.686,3
8.084,2.591,4.839,5.575,152.413,3
7.024,2.692,10.081,9.891,1950.677,3
7.436,2.745,22.51,8.259,1197.116,3
7.939,2.644,16.418,9.763,364.456,3
6.961,0.217,12.088,7.185,752.467,3
7.421,0.107,8.679,5.981,1604.259,3
6.968,0.56,5.904,5.679,622.261,3
7.549,2.818,5.039,7.17,247.124,3
6.552,2.41,0.018,9.445,1983.269,3
7.059,0.706,20.605,9.998,1187.653,3
6.973,1.767,14.802,7.312,1053.512,3
6.915,1.253,12.177,7.465,995.252,3
7.289,0.462,11.285,7.803,1208.279,3
8.026,2.886,3.943,8.888,153.767,3
6.826,0.59,10.711,8.697,1954.566,3
6.754,1.471,6.417,6.038,248.106,3
7.845,1.086,15.406,7.236,98.428,3
7.974,2.719,8.251,7.617,508.397,3
6.675,2.41,20.134,8.568,41.877,3
7.658,2.688,15.511,7.503,1192.197,3
7.254,1.426,15.467,6.704,93.18,3
6.672,0.163,8.107,6.926,210.872,3
7.355,0.558,13.699,7.32,1045.841,3
6.796,2.51,0.058,7.802,1576.819,3
8.189,0.191,9.453,5.716,837.062,3
7.447,2.794,5.335,8.101,325.815,3
6.576,2.473,9.697,8.087,1608.635,3
6.551,0.329,24.649,7.564,1148.876,3
7.439,0.411,24.799,6.915,1147.612,3
6.774,1.308,7.545,6.492,1060.821,3
8.251,2.501,19.996,6.817,111.836,3
7.86,2.042,15.242,5.407,417.864,3
6.577,1.828,23.096,6.148,695.025,3
6.85,2.413,18.402,6.835,974.267,3
8.478,1.918,17.823,6.838,1000.096,3
8.036,2.966,23.927,5.828,1890.225,3
6.873,0.048,17.281,6.181,375.146,3
8.118,2.244,1.49,5.045,538.728,3
8.304,2.454,23.491,5.314,1953.194,3
8.189,1.298,2.255,6.303,1904.882,3
6.949,2.445,19.59,6.718,765.291,3
6.656,2.217,13.244,9.878,1528.576,3
7.545,2.491,7.936,7.872,1546.178,3
7.163,0.004,21.525,9.781,1882.749,3
7.297,2.15,9.291,7.775,274.696,3
6.754,2.892,6.871,5.043,298.809,3
7.017,1.745,4.877,5.386,1481.989,3
6.74,2.649,3.261,5.485,121.662,3
6.593,2.98,14.382,5.741,441.82,3
8.124,1.083,1.696,5.758,339.598,3
7.178,0.195,1.408,9.644,1144.125,3
7.154,0.237,11.321,9.979,1130.628,3
7.86,1.999,18.031,7.567,1047.567,3
7.012,1.743,17.58,7.592,1894.885,3
7.799,1.317,17.884,5.942,679.854,3
7.661,2.018,12.82,8.923,265.186,3
7.115,1.577,0.933,5.398,1031.474,3
6.613,1.851,24.721,9.416,1759.221,3
8.004,1.589,11.109,6.441,1102.088,3
6.568,0.849,2.082,5.572,898.97,3
7.114,0.311,1.65,5.483,160.301,3
7.671,0.324,0.189,5.966,416.685,3
7.452,2.029,5.12,7.301,773.685,3
7.369,0.601,19.013,7.982,1716.077,3
7.676,1.868,6.598,5.884,282.094,3
7.429,0.35,22.341,8.295,1870.204,3
7.166,2.751,20.024,5.005,254.69,3
7.459,1.361,10.977,8.821,1435.524,3
7.237,2.567,0.536,8.611,1522.482,3
7.531,0.851,4.764,6.715,1323.85,3
7.611,2.867,17.036,6.108,690.786,3
6.658,1.196,11.565,6.618,214.244,3
7.64,2.818,0.403,6.492,101.459,3
7.233,1.992,7.986,5.592,1617.748,3
8.473,2.39,22.255,7.522,1636.338,3
7.371,0.709,7.844,9.661,1262.745,3
8.37,0.87,15.23,7.088,962.599,3
7.702,2.921,1.812,7.847,148.717,3
8.342,1.009,4.4,9.911,1389.441,3
8.069,0.036,9.679,6.923,298.096,3
8.005,2.601,9.655,6.229,1392.464,3
7.175,1.877,9.403,8.781,1653.285,3
6.616,2.321,16.261,8.225,923.976,3
8.03,2.443,6.898,6.757,713.449,3
8.213,0.478,7.697,6.672,1698.196,3
8.088,2.163,20.33,9.431,1290.465,3
7.661,2.477,14.204,9.54,561.531,3
7.189,0.491,18.722,8.9,1040.101,3
6.753,2.462,15.263,8.2,1991.268,3
6.536,2.746,6.185,7.078,218.791,3
8.415,1.607,14.658,5.358,426.412,3
7.558,0.237,9.003,5.32,851.138,3
8.044,1.176,5.247,6.633,1289.561,3
7.1,1.506,15.131,7.749,1140.23,3
7.512,0.409,17.762,6.342,713.545,3
7.945,2.199,18.942,7.946,317.403,3
8.209,1.915,24.823,5.263,533.84,3
8.144,0.816,10.073,5.963,1161.638,3
8.36,2.307,4.549,9.504,424.273,3
6.673,1.433,8.402,7.474,1994.22,3
7.064,2.172,14.296,7.31,445.41,3
7.994,1.647,17.12,5.125,114.857,3
8.449,2.916,3.855,8.988,1774.229,3
7.57,2.279,13.146,8.625,331.465,3
8.211,0.358,0.291,7.017,943.579,3
6.788,2.824,22.892,9.198,297.622,3
7.694,0.555,23.593,7.996,1807.46,3
6.841,0.244,24.301,5.187,545.49,3
7.994,1.917,22.251,6.932,933.829,3
7.233,1.236,23.273,5.262,907.017,3
7.325,0.968,17.759,6.641,301.604,3
7.609,0.969,8.981,7.784,1666.48,3
8.372,1.112,9.168,9.273,1333.869,3
7.917,0.474,4.38,7.596,1037.021,3
6.613,0.926,1.313,6.278,1066.141,3
6.707,2.093,24.701,7.547,273.833,3
6.968,2.276,5.125,7.296,1845.331,3
6.628,1.193,20.216,9.338,1205.294,3
6.579,0.766,15.503,6.117,264.284,3
7.276,1.572,18.836,5.094,790.311,3
8.481,1.128,17.234,5.21,1289.592,3
7.058,1.119,20.251,7.463,1355.944,3
8.346,0.808,4.954,5.669,1982.219,3
8.044,2.969,23.118,6.957,1232.08,3
8.218,0.637,3.412,6.317,1344.918,3
7.686,2.383,19.306,9.605,1225.977,3
7.472,0.683,8.422,6.567,981.477,3
8.072,0.771,13.726,7.321,349.786,3
8.224,2.765,22.422,5.308,432.001,3
6.592,0.727,16.759,6.91,345.922,3
7.766,2.863,18.23,9.022,145.385,3
6.91,1.684,16.628,5.752,279.119,3
8.486,2.755,9.153,8.256,365.082,3
8.044,0.748,4.095,5.391,1150.179,3
7.666,2.367,22.377,7.733,1010.061,3
7.912,1.116,6.018,7.804,1135.215,3
8.413,1.983,15.091,5.693,1957.371,3
8.405,1.136,18.738,5.903,1340.885,3
6.864,1.689,3.152,6.096,1670.72,3
7.926,2.424,1.933,9.405,293.323,3
7.006,1.272,13.341,7.942,1255.819,3
6.507,2.853,3.936,6.267,473.091,3
8.109,2.154,7.732,7.435,494.451,3
8.428,2.381,8.177,8.82,1409.154,3
8.342,2.295,10.867,6.13,1402.858,3
8.002,1.054,1.835,5.189,104.595,3
6.586,1.187,11.003,5.248,1545.435,3
8.334,2.071,1.771,5.367,1135.293,3
8.03,2.567,0.664,5.655,866.724,3
6.941,2.565,7.614,8.99,293.797,3
6.664,1.133,20.958,6.053,404.455,3
7.695,1.599,4.653,6.838,964.381,3
8.26,1.031,20.931,9.001,1462.343,3
6.57,0.382,6.978,7.225,1672.214,3
6.94,2.184,4.467,5.294,1179.248,3
6.704,1.937,17.86,5.796,1191.64,3
6.712,2.045,22.854,7.477,1584.218,3
6.644,2.739,12.003,5.26,417.626,3
7.622,2.222,22.888,7.132,864.801,3
7.502,2.848,4.555,8.159,1431.27,3
6.849,1.199,22.014,5.094,78.041,3
7.487,1.691,21.202,9.636,1557.257,3
6.543,0.439,0.405,5.17,702.08,3
6.812,1.667,22.514,6.193,873.538,3
8.115,2.765,16.086,7.079,1838.02,3
8.003,2.248,19.385,9.652,766.708,3
8.194,2.835,6.725,7.655,1921.964,3
6.89,2.057,23.542,9.059,1965.634,3
7.71,2.08,20.834,8.893,1218.011,3
7.864,2.286,5.133,5.825,457.592,3
7.903,1.215,19.311,6.648,1595.547,3
7.567,2.292,24.557,7.964,1492.479,3
6.83,1.498,24.973,6.939,1035.416,3
8.09,1.872,10.358,8.227,1105.749,3
7.937,1.423,20.217,7.01,475.848,3
6.895,1.462,5.359,9.541,1092.081,3
7.041,0.847,3.67,8.78,1168.508,3
7.619,1.815,21.772,9.917,1838.088,3
7.595,2.623,19.617,8.236,1043.176,3
7.161,1.973,19.71,6.814,1807.702,3
8.187,2.105,6.396,9.145,1421.118,3
7.57,2.429,14.114,8.96,933.969,3
8.119,2.307,6.198,8.74,1835.159,3
8.111,0.468,22.671,6.704,479.851,3
7.214,0.965,23.265,5.384,348.517,3
7.108,2.091,9.677,6.136,1001.417,3
7.303,1.478,5.915,9.822,1606.463,3
7.542,2.659,15.217,6.812,416.539,3
6.62,2.078,7.207,7.457,1267.211,3
6.722,2.222,16.977,5.339,464.176,3
6.767,1.939,12.565,8.844,1301.117,3
7.021,0.623,20.822,6.159,360.601,3
7.862,1.335,6.165,7.155,564.758,3
6.64,1.057,5.969,6.39,521.198,3
7.08,0.744,13.901,8.753,1642.801,3
8.05,0.738,4.663,6.614,336.073,3
8.214,2.641,1.667,5.015,1142.495,3
7.816,0.351,19.986,6.851,1303.957,3
7.579,2.605,11.636,8.967,466.285,3
8.348,1.986,5.266,5.761,1273.984,3
7.724,2.2,3.049,6.09,936.313,3
7.152,2.073,20.654,8.645,1140.438,3
6.605,2.954,19.462,6.032,430.401,3
6.903,1.182,23.707,6.953,750.616,3
8.486,1.302,4.511,6.358,1565.101,3
7.844,0.989,6.011,6.218,1280.392,3
8.119,2.833,17.59,8.103,1129.893,3
7.141,0.688,9.503,8.227,1666.105,3
7.149,1.585,20.418,8.463,1563.87,3
7.521,1.904,11.763,7.128,3.747,3
7.216,2.844,2.449,9.899,1216.083,3
6.996,2.992,14.375,9.932,865.339,3
8.103,1.357,21.697,7.081,1220.262,3
7.352,2.117,15.854,9.829,749.756,3
7.747,1.913,22.687,6.836,1055.45,3
7.66,2.824,10.151,7.837,390.837,3
7.452,0.138,0.812,8.374,1836.294,3
8.003,2.731,20.124,7.72,141.567,3
7.807,2.545,22.859,5.311,418.736,3
8.238,2.328,0.565,7.928,562.729,3
6.574,0.04,1.95,6.466,1083.14,3
8.423,1.329,18.938,7.257,898.078,3
8.18,1.807,12.732,5.141,1583.656,3
8.477,0.239,7.652,5.59,702.936,3
8.238,1.893,7.848,9.612,1105.547,3
7.685,0.739,21.864,9.597,1496.298,3
7.259,0.364,23.303,8.523,1528.367,3
7.83,1.071,23.908,6.261,674.267,3
8.182,1.03,11.857,7.998,1778.946,3
8.033,1.729,9.996,7.32,1188.157,3
8.425,2.067,19.637,8.045,563.359,3
6.635,1.019,3.495,6.006,655.914,3
6.717,2.953,20.158,7.715,758.532,3
6.637,0.006,14.043,6.887,352.108,3
6.83,2.499,5.401,8.2,455.645,3
7.511,1.458,15.835,6.448,1219.706,3
8.454,0.21,1.126,5.43,1336.387,3
8.455,0.449,13.094,6.629,1587.817,3
8.347,2.833,16.87,9.689,1167.724,3
7.66,2.515,6.599,7.776,685.732,3
7.51,1.29,1.878,5.342,878.143,3
6.58,2.51,24.933,7.939,733.737,3
8.146,0.484,17.204,5.828,1133.911,3
8.095,0.946,19.139,9.58,1459.627,3
6.648,1.05,21.842,7.129,398.432,3
6.722,1.239,15.074,8.802,1557.71,3
7.174,2.256,1.995,5.124,1480.615,3
8.337,2.196,16.564,6.692,246.264,3
6.616,2.209,1.182,9.361,1491.606,3
7.572,0.106,23.991,7.903,1569.579,3
7.888,2.672,12.547,9.66,1582.828,3
7.319,1.632,21.547,8.464,1218.411,3
7.22,2.686,23.48,8.712,1453.365,3
8.377,0.505,20.813,5.124,1331.272,3
6.993,0.392,13.888,5.933,242.48,3
7.208,0.351,13.131,5.454,1542.508,3
7.072,2.376,6.194,6.989,1292.486,3
8.096,1.242,3.649,8.222,1034.338,3
7.039,1.855,15.521,5.355,758.897,3
7.352,2.647,22.633,9.095,583.433,3
7.304,0.063,13.466,9.491,1308.679,3
8.444,1.487,1.959,7.218,1111.966,3
7.089,2.137,14.348,5.295,877.369,3
7.429,0.03,5.094,5.627,263.023,3
7.496,0.354,11.367,6.048,502.36,3
6.808,0.369,21.578,9.93,1641.19,3
6.654,0.833,12.044,7.247,349.068,3
6.75,2.259,10.674,6.707,562.124,3
7.262,2.193,23.143,6.394,231.976,3
6.65,0.198,6.045,5.341,208.655,3
8.166,2.244,17.398,8.09,1901.265,3
8.377,1.175,15.056,7.953,1767.852,3
7.502,0.542,16.063,9.853,1721.195,3
8.482,2.671,3.316,7.28,1608.461,3
7.872,1.719,6.444,6.199,143.918,3
7.835,0.806,0.787,6.099,691.108,3
7.087,2.955,9.083,6.718,1354.207,3
7.676,0.924,1.204,9.211,1816.684,3
7.839,2.165,4.45,8.922,887.26,3
6.722,0.195,16.538,8.983,1899.827,3
7.584,0.59,3.357,8.128,1950.601,3
7.757,2.311,22.668,7.78,1862.541,3
8.196,1.468,13.904,5.502,1549.46,3
7.259,2.337,14.934,9.168,82.34,3
7.401,2.448,17.665,5.523,944.363,3
8.088,1.403,18.15,7.218,963.522,3
7.959,2.895,0.872,5.658,1790.145,3
8.09,1.934,23.17,9.103,1519.345,3
6.586,2.593,1.459,9.911,1844.33,3
7.764,2.602,5.5,6.67,1894.018,3
6.513,2.895,11.963,5.809,140.71,3
8.083,0.063,18.965,7.042,105.827,3
7.427,1.615,1.053,9.901,1081.328,3
8.005,2.011,5.276,7.89,1999.403,3
8.018,2.742,0.428,9.311,39.306,3
8.097,2.305,18.04,6.17,1939.645,3
7.271,1.225,24.906,6.723,925.813,3
8.157,2.788,16.169,5.66,1711.985,3
6.772,2.927,21.91,5.497,1003.554,3
7.056,2.584,10.129,5.625,75.995,3
8.238,2.615,11.434,8.162,245.756,3
6.54,2.161,5.504,5.082,1826.845,3
7.88,0.872,5.773,6.884,1452.502,3
8.21,0.579,7.229,7.418,645.378,3
8.083,2.856,20.724,6.347,534.444,3
6.833,2.741,23.522,5.322,726.666,3
8.077,0.849,7.515,5.157,1214.72,3
6.733,0.152,1.159,8.749,1744.965,3
7.483,1.052,21.29,9.364,1727.831,3
7.853,1.041,1.376,5.488,264.537,3
7.978,1.75,15.434,7.671,1956.033,3
7.091,1.767,13.876,5.044,955.248,3
7.764,2.285,8.722,7.503,603.367,3
7.716,2.878,6.38,8.318,649.599,3
7.739,2.253,13.704,6.114,309.083,3
7.482,2.424,22.74,6.245,1585.904,3
6.931,2.753,14.935,9.924,803.08,3
7.835,2.278,21.625,9.404,293.052,3
7.739,0.254,2.891,6.353,719.316,3
7.348,1.941,2.122,6.047,838.49,3
8.019,0.32,0.134,8.322,1222.566,3
6.737,2.61,12.199,6.167,947.986,3
7.069,1.199,8.4,6.99,372.463,3
6.741,1.609,21.38,5.658,643.282,3
8.201,2.662,17.838,6.228,1187.565,3
8.437,1.684,19.911,5.065,164.347,3
7.357,0.21,13.304,6.664,549.983,3
7.845,2.397,4.718,8.697,252.873,3
6.884,0.106,9.7,5.487,154.905,3
6.98,1.703,9.183,7.727,1788.841,3
6.688,0.297,1.265,6.114,167.562,3
7.437,0.703,11.915,8.052,1273.423,3
7.765,1.658,6.725,7.245,29.215,3
8.019,0.262,9.214,6.731,1068.424,3
8.387,2.07,13.583,8.229,182.677,3
8.047,0.446,15.603,8.823,1740.024,3
7.377,2.109,22.757,7.305,1393.703,3
7.058,2.197,5.722,7.864,417.458,3
7.029,0.912,5.766,8.355,1894.708,3
7.907,1.199,10.454,8.402,1710.785,3
6.628,0.244,6.519,7.067,1020.524,3
7.935,0.073,23.051,9.904,1648.402,3
6.648,2.447,23.383,6.047,670.733,3
7.26,2.565,20.391,6.013,302.748,3
7.62,1.239,6.669,6.479,595.184,3
8.269,2.74,18.702,8.026,1580.483,3
8.013,2.323,9.222,6.828,1487.313,3
7.173,1.966,16.998,7.285,1809.26,3
6.528,1.344,0.36,7.361,811.987,3
6.947,1.383,4.185,7.044,142.685,3
6.939,1.393,6.264,7.434,1971.642,3
7.859,2.301,2.464,9.859,1445.897,3
7.605,1.678,14.412,6.829,1910.552,3
8.31,1.744,3.724,8.414,1988.596,3
7.753,2.283,23.033,7.019,1502.011,3
7.625,2.594,6.738,6.177,133.302,3
7.705,0.358,2.712,7.467,1226.02,3
7.502,2.638,23.774,8.799,260.661,3
8.476,2.49,18.11,8.333,599.851,3
6.741,1.394,2.171,6.972,1948.04,3
7.07,2.547,9.079,5.03,499.571,3
8.0,2.447,3.015,9.304,311.993,3
7.023,0.439,5.721,8.37,1982.291,3
6.585,0.866,19.075,9.78,1163.833,3
8.257,0.346,12.9,9.794,1634.224,3
7.051,0.527,18.64,7.875,1936.579,3
7.41,1.327,18.252,7.481,235.824,3
7.028,1.287,2.434,7.393,874.692,3
8.12,1.151,20.03,5.25,388.587,3
6.931,2.053,9.571,7.227,1832.008,3
6.634,0.703,20.442,6.219,1544.474,3
8.324,1.217,2.126,8.049,1199.339,3
8.249,0.714,11.357,6.054,483.17,3
7.235,0.535,19.043,5.894,844.983,3
8.073,2.187,8.668,8.674,1925.076,3
6.843,2.603,23.027,5.963,1038.665,3
8.22,0.708,23.379,7.309,1978.031,3
7.813,2.24,1.245,6.844,408.627,3
8.318,1.778,21.103,9.166,1853.608,3
6.931,0.409,0.189,6.619,1680.995,3
7.637,2.486,18.389,8.829,1678.906,3
6.764,1.777,17.196,6.28,1615.494,3
7.016,0.195,0.942,9.354,1460.544,3
6.989,2.046,24.997,7.888,1989.229,3
6.728,1.106,1.866,9.554,1840.356,3
7.812,0.275,12.21,5.158,1284.567,3
8.098,1.893,3.892,9.43,1964.356,3
8.216,2.396,6.894,6.081,995.419,3
7.214,0.15,2.329,7.495,1280.665,3
7.777,0.626,18.43,5.572,331.154,3
6.859,2.754,9.537,8.772,1670.356,3
6.744,0.606,12.446,8.321,1618.268,3
6.808,0.181,18.609,7.979,1722.974,3
7.425,2.45,24.788,7.686,1884.143,3
7.184,0.495,2.007,8.198,1175.42,3
7.691,2.436,14.131,5.452,262.939,3
7.728,1.332,17.87,6.342,407.813,3
7.532,2.354,19.437,6.441,1846.194,3
7.826,1.247,22.819,6.712,1684.154,3
7.658,1.436,23.568,9.83,1421.766,3
7.059,2.391,17.605,7.532,1886.098,3
8.334,1.184,4.698,8.673,1023.577,3
7.519,0.19,19.515,7.28,1024.721,3
6.692,0.434,22.461,5.92,129.927,3
8.103,2.55,13.438,7.689,651.374,3
6.612,2.179,12.06,8.143,1413.696,3
8.393,2.122,24.631,7.504,726.517,3
7.584,2.517,15.091,7.86,622.482,3
8.26,1.846,1.571,8.23,1834.845,3
7.118,0.87,20.064,7.874,1194.124,3
7.706,2.45,23.792,7.485,1097.381,3
8.369,1.85,0.121,7.178,1618.567,3
8.375,2.071,7.596,5.057,177.975,3
7.724,1.927,19.487,6.583,1710.285,3
7.253,1.019,16.091,6.212,1098.267,3
7.387,0.905,24.196,5.516,1439.74,3
7.448,1.668,2.905,5.829,1035.61,3
7.355,1.241,10.493,8.329,1334.93,3
8.205,1.982,2.931,6.468,1322.494,3
7.21,0.203,14.763,9.976,1908.195,3
8.329,1.88,20.498,5.668,165.681,3
8.171,2.306,8.737,7.331,1584.292,3
7.205,0.812,1.612,6.493,176.944,3
7.645,1.43,9.855,5.919,1340.93,3
7.701,2.842,14.731,5.637,217.639,3
6.977,0.886,0.274,6.471,507.886,3
8.268,0.048,2.963,5.87,1399.611,3
7.154,1.51,17.824,5.001,620.876,3
8.066,0.329,11.216,6.419,1356.933,3
7.873,2.222,5.368,9.662,1170.427,3
6.839,0.683,5.69,9.503,1118.912,3
7.381,2.417,23.204,7.016,197.67,3
7.828,0.632,20.555,9.387,1957.667,3
6.915,2.412,19.803,7.409,252.318,3
8.283,2.812,22.553,7.186,739.724,3
6.883,0.935,2.94,6.343,103.168,3
8.319,1.67,24.116,5.441,1027.607,3
7.064,2.614,9.663,8.03,1239.998,3
8.314,2.954,17.499,8.073,1773.411,3
7.889,1.786,12.583,6.034,1034.677,3
7.369,1.033,22.072,8.44,1732.157,3
6.754,0.764,24.14,7.028,773.017,3
7.981,2.514,1.811,6.515,693.033,3
6.669,2.605,16.728,8.69,1484.021,3
6.589,2.816,10.304,6.122,1223.74,3
7.751,2.079,4.02,8.995,1651.73,3
7.765,2.147,16.972,7.389,1622.937,3
7.425,0.647,15.747,5.22,813.377,3
6.765,0.198,15.163,7.12,730.15,3
7.908,1.775,24.823,9.035,1621.903,3
6.539,0.517,15.068,6.431,1975.844,3
7.352,0.209,16.147,9.466,1353.464,3
8.208,0.124,16.07,6.266,295.476,3
8.191,1.24,22.936,9.3,1218.71,3
6.848,2.569,20.186,8.199,1349.069,3
7.084,2.044,9.931,6.059,1649.907,3
7.399,0.091,17.41,6.503,612.093,3
7.536,2.408,19.315,8.716,959.268,3
7.246,2.188,23.398,7.387,1102.809,3
7.714,1.009,8.178,8.727,1036.981,3
7.488,0.908,3.52,8.671,1711.305,3
7.08,2.786,4.013,8.63,141.448,3
6.746,2.304,6.255,9.767,581.922,3
8.473,1.901,19.848,8.33,1277.427,3
6.507,1.423,21.949,7.277,1117.464,3
7.243,1.102,11.962,5.252,427.459,3
6.76,0.243,18.701,9.637,1730.607,3
7.357,2.092,14.41,8.443,1823.805,3
7.661,2.043,7.84,5.808,197.427,3
7.131,1.433,19.493,6.414,1603.911,3
7.303,2.155,10.414,8.78,880.4,3
8.46,1.483,1.82,6.367,1009.422,3
6.965,1.005,1.731,7.195,1934.196,3
7.285,1.059,21.784,7.665,1831.347,3
8.202,1.423,3.952,6.314,648.559,3
6.886,0.536,13.518,6.019,480.309,3
6.951,2.085,20.119,7.122,146.143,3
7.782,2.802,9.056,7.598,278.945,3
7.967,2.245,4.62,7.593,42.092,3
8.143,2.411,5.241,6.046,314.217,3
7.627,0.811,13.578,5.963,1340.589,3
7.902,2.435,5.726,8.084,1377.079,3
8.105,1.662,2.338,6.714,1014.546,3
6.865,1.96,12.667,6.091,1567.821,3
6.766,0.097,7.602,6.456,1712.525,3
6.996,1.597,20.663,6.986,1603.815,3
7.212,2.524,12.119,5.617,459.133,3
6.612,0.808,17.979,7.181,1854.522,3
6.756,1.953,15.359,7.075,1497.488,3
6.979,1.077,20.387,9.986,1808.007,3
6.69,2.769,16.789,9.694,60.299,3
7.91,2.871,17.41,5.697,768.397,3
8.107,0.434,21.879,7.507,1645.822,3
6.54,1.091,18.376,7.111,1973.6,3
7.383,0.197,5.447,6.709,568.185,3
8.42,1.912,8.869,7.271,185.698,3
7.939,2.54,9.532,6.873,689.399,3
8.262,0.549,15.981,9.187,1330.691,3
7.316,0.531,16.495,6.235,1239.13,3
6.833,1.945,10.415,9.192,1436.105,3
8.315,2.114,10.572,8.76,957.835,3
8.025,2.582,13.292,5.949,219.036,3
7.679,2.665,24.21,7.822,291.571,3
7.558,2.823,22.903,5.342,1708.79,3
8.38,1.663,23.578,5.99,827.835,3
7.908,2.566,14.638,5.538,709.126,3
7.926,1.938,11.534,5.883,716.035,3
7.066,0.989,9.558,9.737,1992.636,3
6.777,0.75,17.402,9.081,1970.01,3
7.626,1.636,14.788,6.545,1365.355,3
7.04,1.754,1.111,8.473,1296.224,3
8.048,1.505,0.704,7.453,369.482,3
7.353,2.214,11.168,6.905,1448.848,3
7.802,2.274,8.769,6.221,423.611,3
8.267,2.918,19.175,5.574,1930.491,3
7.154,2.972,2.232,5.131,714.986,3
6.834,0.696,20.081,7.278,1455.793,3
7.691,2.83,21.48,5.054,775.022,3
8.164,0.668,15.114,8.92,1293.293,3
7.511,1.152,13.643,6.772,1601.979,3
7.432,2.679,10.435,7.898,1373.102,3
6.727,0.292,19.13,9.932,1658.402,3
6.513,0.556,14.048,6.043,189.074,3
8.425,1.533,9.298,5.955,1191.256,3
7.956,2.859,18.192,9.341,342.605,3
8.096,2.019,14.738,6.7,1330.199,3
7.403,1.034,18.111,9.111,1575.989,3
7.769,2.335,17.207,6.18,1309.916,3
7.942,0.943,22.929,8.517,1244.051,3
8.219,1.153,17.744,9.63,1110.633,3
6.677,1.818,11.943,7.508,1574.027,3
7.38,1.353,22.067,8.472,1894.801,3
7.878,2.968,22.207,5.094,563.096,3
7.643,2.917,5.764,5.855,645.733,3
8.168,2.204,1.644,9.502,372.698,3
7.926,1.779,1.364,7.746,1893.402,3
6.991,0.503,16.301,6.369,1381.306,3
6.528,1.466,16.131,7.055,1915.096,3
7.204,1.015,17.227,8.7,1967.56,3
8.371,1.283,20.349,7.325,531.339,3
6.796,2.498,7.162,9.343,1015.887,3
8.191,1.924,21.46,7.207,685.52,3
8.372,1.639,4.349,5.553,165.3,3
6.761,0.071,22.751,6.437,895.774,3
7.823,2.227,11.573,6.157,1776.175,3
7.144,0.203,1.78,6.377,1485.236,3
8.107,1.691,22.681,7.609,1068.658,3
6.862,2.204,0.174,5.846,802.446,3
6.866,1.311,8.468,5.248,1680.586,3
7.812,1.988,15.625,5.259,1442.94,3
7.881,0.626,6.305,6.039,1151.833,3
7.838,1.142,6.77,7.571,1561.702,3
7.794,1.769,16.14,7.322,1155.435,3
7.325,1.151,8.207,5.37,1026.352,3
7.168,1.176,13.717,6.076,34.431,3
7.83,1.564,13.009,6.187,1553.291,3
6.617,1.604,16.535,7.608,1101.427,3
6.95,2.67,3.053,5.374,464.234,3
6.57,0.939,6.203,5.172,307.517,3
6.989,1.381,22.683,7.805,1054.74,3
6.718,0.082,10.564,8.547,1304.87,3
7.426,0.515,16.787,8.106,1384.465,3
6.794,1.611,21.174,9.348,1998.149,3
7.987,1.291,13.893,7.439,1358.224,3
6.668,2.25,23.198,5.767,1369.414,3
7.31,2.114,12.443,8.237,1096.241,3
7.859,2.075,23.574,9.858,370.592,3
6.699,2.567,15.828,9.721,1836.881,3
8.011,0.563,0.883,8.24,1821.771,3
6.818,2.909,14.411,7.058,1346.33,3
8.046,1.419,24.033,7.862,1124.948,3
6.87,1.836,16.247,7.668,1797.08,3
8.292,1.167,18.707,5.931,1761.02,3
7.206,2.343,6.481,6.894,596.113,3
7.405,2.309,6.471,6.456,536.112,3
7.621,1.733,12.475,7.083,992.239,3
8.333,0.158,24.609,7.079,51.161,3
7.274,2.665,23.39,6.839,197.754,3
7.59,1.443,4.257,6.112,324.792,3
