MolecularWeight,TPSA,Complexity,HeavyAtomCount,RotatableBondCount,RDKit_logP,RDKit_TPSA,RDKit_MolWt,LD50
72.06,37.3,55.9,5,1,0.257,37.3,72.063,3.333
275.4,114,365,17,3,2.6789,63.05,275.399,4.491
300.02,74.5,351,18,0,3.7967,71.82,300.023,3.737
196.63,29.3,188,13,1,2.5472,29.27,196.637,2.391
132.2,58.3,59,9,5,-0.6944,58.28,132.207,1.368
251.3,12.9,129,11,0,4.3486,12.89,251.327,2.762
236.34,49.5,166,15,9,0.67,49.45,236.34,1.012
92.57,0,13.1,5,2,2.0253,0,92.569,1.54
218.21,85.3,211,15,8,0.096,85.27,218.209,1.64
130.14,46.5,117,9,4,0.098,46.53,130.143,1.411
230.2,102,188,12,6,1.7575,44.76,230.247,3.394
280.31,116,368,19,4,0.8682,107.2,280.309,1.669
184.27,26.3,157,13,7,2.932,26.3,184.279,1.341
282.29,64.4,357,21,5,2.548,64.35,282.299,2.372
122.16,20.2,80.6,9,0,2.00904,20.23,122.167,2.616
176.18,52.8,166,13,2,0.6709,52.83,176.179,2.644
359.6,44.8,368,20,7,5.7283,44.76,359.573,4.556
244.17,55,308,17,2,2.3683,54.98,244.172,4.039
138.16,18.5,73.3,10,2,1.7038,18.46,138.166,1.584
184.32,9.2,99.3,13,10,4.2872,9.23,184.323,1.67
390.9,66.1,172,12,0,2.5096,63.37,390.902,3.362
379.9,135,637,23,3,1.5976,118.36,379.891,2.58
96.13,17.1,90.4,7,2,1.3176,17.07,96.129,2.506
185.06,0,65,9,2,2.624,0,185.064,2.358
301.19,53.2,321,20,2,2.9801,53.16,301.19,2.147
179.22,38.3,172,13,2,2.02164,38.33,179.219,2.519
165.4,40.5,56.4,7,0,0.6673,40.46,165.403,2.538
293.19,64.5,200,18,8,1.7098,64.52,293.194,2.513
270.22,45.6,234,15,5,4.2774,20.31,270.225,2.835
120.15,38.7,38.7,8,5,-0.3583,38.69,120.148,1.339
203.19,49.9,291,15,2,0.6814,49.91,203.197,1.636
154.25,20.2,150,11,4,2.6714,20.23,154.253,1.535
266.29,76.7,320,19,5,2.7065,76.66,266.297,3.994
256.3,55.2,295,19,4,2.1311,55.24,256.305,1.756
133.2,86.5,122,7,0,0.1343,29.1,133.197,2.619
192.26,55.1,194,14,3,1.51424,55.12,192.262,1.922
225.33,44.4,220,16,3,0.3405,44.37,225.336,1.762
315.2,66.6,255,16,5,5.3629,9.23,315.227,4.084
159.23,3.2,159,12,3,1.7516,3.24,159.232,2.725
142.24,20.2,98.9,10,5,2.5037,20.23,142.242,1.898
240.21,112,298,17,2,2.7221,106.51,240.215,3.983
110.11,47.3,144,8,0,-0.0978,52.96,110.116,3.167
443.6,71.1,556,26,10,5.53272,74.97,443.647,3.323
261.32,50.7,341,20,2,5.14582,50.74,261.328,3.338
102.13,26.3,52,7,3,0.9579,26.3,102.133,1.005
340.6,58.6,310,20,6,3.635,58.56,340.634,1.652
140.1,71.3,125,10,0,0.2282,70.08,140.098,3.117
208.08,20.3,170,12,5,1.9907,20.31,208.088,2.017
282,26.3,196,14,5,3.6974,26.3,281.994,2.149
353.5,96.2,356,21,9,4.1983,38.77,353.49,3.038
391.4,122,480,24,8,4.0177,65.07,391.451,2.957
127.57,26,74.9,8,0,1.9222,26.02,127.574,2.698
220.31,37.3,215,16,5,3.4633,37.3,220.312,2.139
162.14,61.8,126,11,6,1.316,61.83,162.141,2.28
300.02,74.5,351,18,0,3.7967,71.82,300.023,3.921
163.22,12.5,126,12,1,1.5232,12.47,163.22,2.244
314.5,52.6,263,22,15,4.5056,52.6,314.466,1.748
178.23,26.3,148,13,5,2.5299,26.3,178.231,1.884
234.08,38.3,201,14,3,2.8494,38.33,234.082,2.098
244.26,37.3,286,18,3,3.6808,37.3,244.265,3.443
285.4,88.9,245,18,7,3.9096,38.33,285.434,2.757
185.22,32.3,158,14,2,3.1358,32.26,185.226,1.749
317.3,113,399,19,5,2.4906,55.84,317.328,3.535
502.6,77.5,790,37,11,5.2158,80.92,502.567,2.224
265.24,65.1,317,17,7,2.1761,65.07,265.246,4.469
265.03,28.7,221,14,0,3.3442,28.68,265.032,3.733
250.31,27.7,110,16,12,4.6634,27.69,250.319,1.921
432.6,46.3,672,32,11,6.5437,46.33,432.652,3.184
159.09,45.8,159,11,0,1.873,43.14,159.091,2.901
76.09,40.5,20.9,5,1,-0.6405,40.46,76.095,0.58
193.45,29.5,80.4,9,2,1.7115,29.46,193.457,2.342
347.29,94.9,449,24,5,4.1482,89.52,347.293,2.283
210.23,52.6,291,15,4,0.7707,52.6,210.229,2.323
198.43,29.1,243,10,0,2.3351,32.86,198.436,2.395
225.29,72,192,16,6,1.5224,71.96,225.296,2.353
280.4,52,296,21,6,3.4309,52.04,280.415,2.655
217.26,26,300,17,0,4.1662,26.02,217.271,2.308
168.2,51.6,116,9,4,2.5989,26.3,168.198,4.563
258.29,26.3,266,19,6,3.4088,26.3,258.292,4.634
338.4,39.4,497,25,7,5.152,39.44,338.447,2.435
290.4,103,329,18,6,2.5812,52.6,290.406,2.387
251.28,56.8,305,18,3,2.2288,56.79,251.282,3.359
74.13,52,12.4,5,2,-0.7061,52.04,74.127,2.326
149.15,38.3,169,11,0,1.2886,38.33,149.149,2.152
250.61,44.8,368,15,4,3.0602,44.76,250.618,3.417
71.08,44,51.2,5,1,-0.10762,44.02,71.079,1.347
139.11,66.1,123,10,0,1.3004,63.37,139.11,2.745
220.3,101,215,13,3,1.5244,50.69,220.319,4.572
257.74,86.9,286,15,6,-0.5842,78.51,257.743,3.712
74.08,37.3,40.2,5,1,0.481,37.3,74.079,1.455
134.22,0,91.1,10,1,2.9841,0,134.222,1.644
104.11,36.7,111,8,0,0.95328,36.68,104.112,1.944
429.66,104,594,28,2,5.9376,98.31,429.66,3.66
132.16,27.7,63.3,9,0,1.0878,27.69,132.159,1.936
348.68,19.4,256,22,9,0.2338,19.44,348.688,2.453
67.09,23.8,72.9,5,0,1.08608,23.79,67.091,2.127
220.97,44.8,181,11,4,2.6804,44.76,220.976,3.946
196.03,183,209,13,0,-1.2955,172.56,196.031,3.178
267.4,32.3,274,20,3,3.0646,32.26,267.372,3.172
239.27,54.4,359,17,3,0.0156,56.59,239.275,2.1
224.23,83,319,15,1,1.7921,74.6,224.237,1.85
283.75,57.6,310,19,6,2.4678,57.61,283.755,2.091
260.37,33.6,310,19,5,3.1822,33.62,260.381,3.073
126.15,37.3,138,9,1,1.4273,37.3,126.155,1.471
282.26,103,352,17,7,2.01652,83.56,282.258,5.451
211.26,58.4,235,15,2,2.0656,58.37,211.265,2.525
187.22,88.8,244,12,1,0.82392,80.39,187.22,1.204
201.15,54.7,218,14,0,2.1639,54.7,201.151,3.349
146.14,59,126,10,4,0.1627,58.97,146.146,1.563
133.17,74.6,106,8,1,-0.2665,49.33,133.172,2.182
426.7,52.6,366,30,23,7.6264,52.6,426.682,1.318
127.23,12,65,9,2,1.9286,12.03,127.231,2.334
212.24,26.3,231,16,3,3.6815,26.3,212.248,1.708
84.12,20.2,66.3,6,0,0.6973,20.23,84.118,2.253
279.06,28.7,246,15,0,3.65262,28.68,279.059,3.559
254.33,33.6,329,19,3,2.9191,33.62,254.333,2.767
238.22,35.5,286,16,6,2.5814,35.53,238.223,2.818
361.5,35.6,506,27,5,3.7968,35.58,361.489,2.859
83.09,44,89,6,1,0.05688,44.02,83.09,3.107
114.14,26.3,86.5,8,4,1.4732,26.3,114.144,1.126
82.1,28.7,44.8,6,0,0.71812,28.68,82.106,2.039
505.4,178,648,34,13,4.17528,167.58,505.458,1.74
129.24,26,87.2,9,2,2.1599,26.02,129.247,2.773
111.12,26,66.9,8,0,1.4079,26.02,111.119,2.426
141.13,77.6,95.7,7,2,1.0626,52.32,141.132,4.275
308.4,40.6,389,23,5,3.7878,40.62,308.381,3.1
338.5,38.8,325,24,18,5.9659,38.83,338.532,1.983
138.59,0,98.7,9,1,2.983,0,138.597,1.527
506.25,151,580,29,18,5.6876,151.35,506.255,4.859
459.7,18.5,354,22,0,8.8118,18.46,459.754,5.663
138.21,17.1,187,10,0,2.3218,17.07,138.21,1.671
216.28,41.1,207,16,4,1.6033,41.05,216.288,2.509
156.99,18.5,68.4,8,0,1.163,18.46,156.996,2.047
416.3,26.3,285,22,12,6.0786,26.3,416.343,2.297
82.1,28.7,44.8,6,0,0.71812,28.68,82.106,2.101
85.1,44,87,6,0,0.28088,44.02,85.106,3.659
123.15,33.1,69.3,9,2,0.6164,33.12,123.155,1.546
166.22,40.5,148,12,1,2.3953,40.46,166.22,1.77
135.21,12,90.7,10,2,2.42682,12.03,135.21,2.368
215.9,0,90.3,10,0,4.3002,0,215.894,2.158
90.55,0,38.9,5,1,1.8013,0,90.553,2.028
197.21,72,303,13,2,1.01952,63.57,197.215,1.946
286.4,34.7,283,20,4,3.8489,6.48,286.444,2.432
74.08,26.3,26.1,5,2,-0.1683,26.3,74.079,1.502
203.02,34.1,183,12,2,2.4446,34.14,203.024,1.965
262.3,46.8,299,19,7,1.3468,46.82,262.305,2.209
271.34,110,356,18,5,1.0568,101.29,271.342,1.541
135.22,128,87.1,7,0,-0.9368,64.07,135.217,4.432
218.28,85.2,245,14,3,1.5439,59.92,218.278,4.163
400.4,197,747,26,4,1.8408,177.9,400.39,1.45
196.25,24.4,189,15,3,3.4585,24.39,196.253,2.013
74.12,20.2,17.6,5,1,0.6347,20.23,74.123,1.479
218.03,0,70.8,8,0,2.59962,0,218.037,1.978
430.9,44.8,255,20,12,4.6829,44.76,430.907,2.183
399.5,122,471,26,12,3.7698,71.44,399.538,3.083
111.18,3.2,83.8,8,3,0.9614,3.24,111.188,1.859
199.33,29.1,150,14,7,3.1175,29.1,199.338,2.454
116.2,20.2,43.7,8,4,1.9475,20.23,116.204,1.793
206.3,101,208,12,2,1.4819,50.69,206.292,5.37
184.27,37.3,141,13,9,3.3778,37.3,184.279,1.868
249.3,46.6,319,18,3,2.9612,46.61,249.31,2.397
283.1,54.4,447,18,2,3.5868,54.37,283.11,3.003
162.23,38.7,83.4,11,6,0.8088,38.69,162.229,1.511
345.4,113,435,21,7,3.2708,55.84,345.382,3.584
186.25,57.5,183,13,3,1.7924,57.53,186.251,1.587
220.27,79.5,267,16,2,1.57911,77.01,220.276,3.078
153.14,83.6,160,11,1,0.6726,83.55,153.137,1.738
434.6,89.5,353,30,25,3.2998,89.52,434.57,1.86
329.4,64.1,422,23,4,4.538,38.77,329.421,4.12
221.25,55.4,245,16,5,2.0029,55.4,221.256,3.099
134.22,0,80,10,2,3.2001,0,134.222,1.778
205.25,39.2,216,15,6,1.9157,39.19,205.257,1.62
92.14,0,103,7,0,1.7485,0,92.141,2.015
342.3,190,382,23,4,-5.3972,189.53,342.297,0.993
268.27,101,355,19,2,3.11752,95.51,268.269,2.898
280.4,59.8,291,19,8,3.8611,27.69,280.389,2.443
225.67,46.2,255,15,3,2.56602,46.17,225.675,1.809
314.5,93,179,17,12,6.6944,17.07,314.522,3.322
106.15,42.5,125,6,1,0.1745,34.14,106.146,2.27
337.5,38.7,443,25,7,5.3518,38.66,337.463,2.051
130.14,43.4,98.5,9,5,0.5286,43.37,130.143,1.12
202.25,52.6,157,14,9,1.673,52.6,202.25,1.494
116.16,37.3,68.9,8,4,1.6513,37.3,116.16,1.588
291.4,3.2,428,22,5,4.8773,3.24,291.438,1.862
214.26,45.2,192,16,4,2.2271,45.15,214.268,2.452
270.4,18.5,254,20,5,4.8052,18.46,270.372,1.819
303.3,54.3,573,23,2,2.9985,54.26,303.321,3.07
225.28,90.4,239,15,4,2.3556,99.46,225.281,1.796
154.21,0,100,12,1,3.3536,0,154.212,1.808
269.3,65.3,349,20,4,3.8662,65.26,269.304,1.855
334.2,75.1,408,22,5,3.47537,72.63,334.21,2.394
527.4,66.8,743,35,6,7.1837,70.67,527.414,6.032
172.2,75.9,97.5,8,3,1.8667,18.46,172.211,4.06
216.3,0,68.1,8,2,3.2028,0,216.322,2.422
228.24,68.2,175,16,6,0.4358,68.15,228.244,2.036
474.7,236,516,26,7,3.9216,83.8,474.702,3.472
203.3,67.6,144,13,9,2.03398,42.25,203.307,3.354
214.06,36.8,130,11,2,2.6672,36.75,214.066,2.662
153.14,69.6,149,11,1,0.5112,69.56,153.137,1.486
350.5,46.3,504,26,7,4.4051,46.33,350.506,3.693
147.22,70.3,61,10,7,-1.8834,70.31,147.222,1.502
359.4,113,461,22,7,3.6593,55.84,359.409,3.857
193.9,0,86,8,2,3.1516,0,193.888,2.662
118.18,58.3,49.7,8,4,-1.0845,58.28,118.18,1.381
225.29,28,236,17,3,3.9139,27.96,225.295,2.812
106.12,49.7,26.1,7,4,-1.0124,49.69,106.121,0.927
289.5,28.7,276,16,0,4.5419,28.68,289.471,4.66
152.19,29.5,97.7,11,3,1.4462,29.46,152.193,1.731
266.12,61.4,325,16,5,0.65562,68.96,266.128,5.045
342.84,108,407,21,10,1.37,99.15,342.849,3.137
142.24,20.2,90.9,10,1,2.1935,20.23,142.242,1.714
107.15,26,62.8,8,0,1.57722,26.02,107.156,2.213
295.3,57.6,428,22,4,3.4252,57.61,295.338,2.899
176.21,36.9,91,12,0,1.4504,36.92,176.212,2.89
320.28,86.7,486,21,7,2.1258,88.88,320.282,5.227
228.71,40.5,210,15,3,2.7085,40.46,228.719,2.302
238.57,28.7,247,15,0,3.3742,28.68,238.571,4.44
158.09,57.5,145,10,1,0.4896,57.53,158.093,1.898
182.17,26.3,174,11,3,3.23,26.3,182.175,5.658
87.12,20.3,58.6,6,0,0.0945,20.31,87.122,1.247
303.5,28.7,302,17,0,4.85032,28.68,303.498,4.22
274.27,80.3,260,19,14,1.6814,80.29,274.269,2.809
141.939,0,2,2,0,1.0512,0,141.939,3.271
434.3,59.3,679,29,7,6.31708,59.32,434.294,2.86
312.4,52.6,374,23,9,4.0005,52.6,312.365,2.127
266.4,15.3,267,20,4,3.5328,15.27,266.388,2.851
205.21,47.6,256,15,4,1.4168,47.56,205.213,3.409
163.02,42.5,121,7,2,0.7938,34.14,163.025,2.832
243.3,119,202,13,7,1.5024,61.55,243.29,4.386
164.63,37.3,93.6,10,6,2.2603,37.3,164.632,1.961
119.12,41.6,92.5,9,0,0.9579,41.57,119.127,2.328
145.16,30.7,115,11,1,1.2673,30.71,145.165,3.035
252.27,76.4,298,15,4,2.2005,51.13,252.276,2.504
363.5,52.7,524,27,5,2.9663,52.65,363.461,2.861
154.25,17.1,143,11,1,2.7918,17.07,154.253,1.489
407.6,58.6,363,27,20,5.6755,58.59,407.576,3.219
228.12,149,320,16,1,0.9068,143.81,228.116,2.424
251.28,65.5,273,18,6,2.212,65.49,251.282,1.682
154.25,20.2,168,11,1,2.5037,20.23,154.253,1.475
114.1,64.4,141,8,1,-0.5734,72.02,114.104,3.404
118.17,18.5,39.8,8,4,1.4054,18.46,118.176,1.41
333.26,94.9,449,23,4,3.9242,89.52,333.266,1.523
252.73,0,8,4,0,2.4547,0,252.731,2.343
106.95,0,10.3,3,0,1.5248,0,106.95,2.33
627.6,0,258,18,1,7.9286,0,627.588,1.465
214.08,44.5,146,10,1,3.1834,12.36,214.087,2.729
316.15,54.4,385,19,1,2.6336,54.35,316.158,2.21
173.83,0,2.8,3,0,1.7337,0,173.835,3.207
697.6,44.8,255,20,12,5.6195,44.76,697.613,2.839
213.9,0,34.8,6,2,2.3324,0,213.9,3.455
187.86,0,6,4,1,1.7762,0,187.862,3.24
356.05,40.6,227,16,4,1.2272,40.62,356.058,3.209
94.11,9.2,102,7,2,0.2694,9.23,94.113,2.242
158.19,34.3,113,11,6,0.5808,34.29,158.197,2.17
198.26,9.2,137,15,4,3.4034,9.23,198.265,1.899
314.54,44.8,253,17,6,4.649,44.76,314.543,1.961
182.12,23.8,126,9,3,2.83978,23.79,182.126,1.809
53.06,23.8,54.9,4,0,0.69598,23.79,53.064,2.833
154.17,58.2,167,11,4,-0.4517,58.2,154.169,2.597
166.22,26.3,210,12,3,1.9042,26.3,166.22,1.468
125.13,50.1,154,9,4,0.62928,50.09,125.127,2.842
170.16,52.6,173,12,7,0.4448,52.6,170.164,2.754
192.21,35.5,183,14,6,1.7946,35.53,192.214,1.569
214.21,61.8,210,15,10,0.4614,61.83,214.217,2.729
54.09,0,21,4,1,1.3584,0,54.092,0.994
80.13,0,58.1,6,2,1.9146,0,80.13,2.582
56.06,17.1,30.3,4,1,0.3713,17.07,56.064,3.086
105.14,12.9,78.5,8,1,1.7246,12.89,105.14,3.022
105.14,12.9,72.5,8,1,1.7246,12.89,105.14,3.022
120.19,0,155,9,1,2.3846,0,120.195,1.44
124.18,12.5,131,9,1,1.7399,12.53,124.183,1.793
212.24,36.9,205,15,2,1.0906,36.92,212.245,1.718
162.18,18.5,167,12,2,2.1438,18.46,162.188,1.92
230.3,21.8,244,17,7,2.9212,21.76,230.307,1.71
84.12,17.1,47.9,6,3,1.1515,17.07,84.118,2.132
99.16,44.5,81.5,6,2,1.2752,12.36,99.158,2.947
97.16,12,49.2,7,4,0.948,12.03,97.161,2.226
196.2,52.6,227,14,8,1.001,52.6,196.202,2.816
176.21,26.3,169,13,5,1.9583,26.3,176.215,2.433
254.32,36.9,200,18,13,2.449,36.92,254.326,2.256
84.12,9.2,47.9,6,3,1.3325,9.23,84.118,2.185
259.34,38.3,297,19,5,3.3139,38.33,259.349,2.335
208.3,18.5,213,15,6,2.5587,18.46,208.301,1.747
98.14,9.2,49.2,7,4,1.375,9.23,98.145,2.487
69.11,3,45.6,5,1,0.4455,3.01,69.107,2.895
111.14,20.3,120,8,1,0.7523,20.31,111.144,1.879
148.16,26.3,146,11,3,1.9869,26.3,148.161,1.659
158.19,27.7,89.5,11,8,1.3232,27.69,158.197,1.627
118.16,42.5,145,7,2,0.6882,34.14,118.157,3.567
30.026,17.1,2,2,0,-0.1849,17.07,30.026,1.574
310.4,17.8,362,24,4,5.1878,17.82,310.4,2.327
182.22,24.7,157,14,2,4.102,24.72,182.226,2.261
262.3,0,202,19,3,3.4448,0,262.292,2.574
156.18,25.8,120,12,1,2.1436,25.78,156.188,3.194
79.1,12.9,30.9,6,0,1.0816,12.89,79.102,1.948
202.25,0,243,16,0,4.4872,0,202.256,2.005
129.16,12.9,111,10,0,2.2348,12.89,129.162,2.591
128.17,0,80.6,10,0,2.8398,0,128.174,2.418
92.14,0,102,7,0,2.0587,0,92.141,3.209
152.19,25.1,216,11,0,0.9511,25.06,152.193,1.852
174.28,0,249,13,1,3.5549,0,174.287,1.609
190.4,75.9,143,10,0,3.1967,0,190.358,2.802
140.18,25.1,157,10,1,0.9527,25.06,140.182,1.818
266.4,24.1,259,20,4,5.1748,24.06,266.388,2.124
132.2,0,92.6,10,0,2.5654,0,132.206,1.665
138.25,0,80.6,10,0,3.3668,0,138.254,1.521
98.14,12.5,70.2,7,0,1.3278,12.53,98.145,1.954
138.17,43.6,116,10,0,0.3995,43.6,138.174,2.994
252.4,78.9,236,16,2,2.6356,25.36,252.364,2.105
146.19,25.3,163,11,1,1.6645,25.25,146.193,1.892
43.07,21.9,10.3,3,0,-0.4104,21.94,43.069,3.458
204.23,47.7,205,15,3,-0.6684,47.7,204.237,5.31
322.5,31.8,398,23,2,4.6311,6.48,322.477,3.119
86.14,24.1,26.5,6,0,-0.8208,24.06,86.138,1.656
100.16,24.1,39.3,7,0,-0.4307,24.06,100.165,1.549
44.05,12.5,10.3,3,0,0.0166,12.53,44.053,2.787
232.23,62,211,16,6,-0.4838,61.98,232.232,2.337
87.12,21.3,34.5,6,0,-0.3938,21.26,87.122,1.919
176.21,36.9,65.1,12,0,0.0664,36.92,176.212,1.794
220.26,46.2,86.2,15,0,0.083,46.15,220.265,2.194
264.31,55.4,108,18,0,0.0996,55.38,264.318,2.279
74.08,18.5,24.1,5,0,-0.0093,18.46,74.079,1.393
60.12,25.3,10.3,3,0,0.7332,0,60.121,2.529
190.24,25.1,184,14,4,1.5692,25.06,190.242,1.657
222.24,43.5,211,16,6,1.2418,43.52,222.24,1.937
122.12,18.5,91.1,9,0,1.4153,18.46,122.123,2.323
94.94,0,2,2,0,1.0111,0,94.939,2.647
41.05,23.8,29.3,3,0,0.52988,23.79,41.053,1.177
67.09,23.8,83.1,5,0,1.08608,23.79,67.091,2.747
230.09,29.1,242,14,2,3.508,29.1,230.094,2.107
273.36,57.2,309,18,4,-0.0372,57.23,273.361,1.536
126.15,26.3,136,9,4,1.2917,26.3,126.155,2.467
142.15,38.8,162,10,4,0.5045,38.83,142.154,2.377
148.59,26.3,120,9,4,1.3445,26.3,148.589,2.871
84.12,17.1,81.9,6,1,1.1515,17.07,84.118,2.67
172.18,52.6,191,12,5,1.0148,52.6,172.18,2.593
118.18,0,96.6,9,1,2.7197,0,118.179,1.382
152.23,20.2,191,11,1,2.2797,20.23,152.237,1.705
136.23,0,163,10,1,3.3089,0,136.238,1.491
81.12,23.8,93.8,6,1,1.47618,23.79,81.118,2.177
100.12,26.3,94.3,7,2,1.0831,26.3,100.117,1.523
130.1,74.6,168,9,2,0.1019,74.6,130.099,1.994
86.09,34.1,71.5,6,1,0.1644,34.14,86.09,1.736
70.09,17.1,54.7,5,1,0.7614,17.07,70.091,3.369
72.06,34.1,55.9,5,1,-0.2257,34.14,72.063,1.791
170.21,17.1,197,13,1,3.0424,17.07,170.211,2.038
134.17,17.1,121,10,1,2.19762,17.07,134.178,1.982
320.16,86.6,343,20,6,1.2034,86.63,320.172,2.465
165.15,62.9,197,12,1,1.7974,60.21,165.148,1.706
135.16,43.1,133,10,1,1.4714,43.09,135.166,1.859
120.15,17.1,101,9,1,1.8892,17.07,120.151,2.169
154.59,17.1,133,10,1,2.5426,17.07,154.596,1.929
114.14,29.6,126,8,1,0.7528,29.6,114.144,1.851
169.22,46.2,207,12,4,1.0463,46.17,169.224,1.927
116.16,37.3,94.7,8,2,0.7364,37.3,116.16,1.463
353.3,109,614,26,4,3.5178,110.65,353.33,2.838
342.8,63.6,533,24,4,4.263,67.51,342.778,3.263
116.11,54.4,106,8,3,0.4402,54.37,116.116,1.798
148.2,17.1,123,11,3,2.2082,17.07,148.205,1.666
92.52,17.1,42.2,5,1,0.8142,17.07,92.525,2.966
74.08,37.3,40.2,5,1,-0.4323,37.3,74.079,1.527
129.16,29.5,108,9,0,-0.1349,29.54,129.159,1.324
211.64,46.2,222,14,3,2.0665,46.17,211.648,1.993
226.27,55.1,251,17,2,2.8942,55.12,226.279,2.142
151.16,49.3,139,11,1,1.3506,49.33,151.165,1.799
135.16,29.1,116,10,1,1.645,29.1,135.166,2.228
136.15,42,119,10,1,1.04,41.99,136.154,2.485
179.18,71.1,206,13,1,-0.1375,71.09,179.179,2.425
196.29,26.3,226,14,7,3.2406,26.3,196.29,1.494
267.5,26.3,219,15,3,3.661,26.3,267.539,1.595
192.6,52.6,195,12,5,1.1912,52.6,192.598,2.779
158.15,52.6,157,11,5,0.6247,52.6,158.153,3.655
86.09,26.3,65.9,6,2,0.693,26.3,86.09,1.47
443.4,90,742,33,6,3.7647,89.98,443.455,2.948
417.4,90.9,642,31,6,3.8119,90.93,417.417,1.717
649.94,72.8,435,23,5,4.9162,72.83,649.944,2.15
136.15,26.3,114,10,2,1.6119,26.3,136.15,1.922
142.2,26.3,114,10,2,1.8822,26.3,142.198,1.325
128.17,26.3,121,9,3,1.5157,26.3,128.171,1.631
194.18,44.8,216,14,3,1.4784,44.76,194.186,1.966
150.17,26.3,126,11,3,1.7497,26.3,150.177,1.78
164.2,26.3,137,12,4,1.7922,26.3,164.204,1.651
170.25,26.3,137,12,4,2.5199,26.3,170.252,1.726
104.1,46.5,60,7,3,-0.4582,46.53,104.105,1.101
234.25,71.1,181,16,11,0.1458,71.06,234.248,1.016
76.05,46.5,40.2,5,1,0.0225,46.53,76.051,1.694
201.89,0,20.9,5,1,2.1647,0,201.889,2.276
310.2,45.8,296,20,3,4.7905,43.14,310.18,2.617
254.28,54.4,331,19,4,3.1057,54.37,254.285,3.61
266.29,54.6,352,20,3,3.1894,54.6,266.3,2.96
281.3,57.6,414,21,3,3.0351,57.61,281.311,3.525
260.31,82.6,323,18,4,3.1672,54.37,260.314,3.158
226.27,42.9,275,17,3,2.6371,42.85,226.279,2.638
102.13,37.3,78.6,7,1,1.1171,37.3,102.133,2.055
251.32,66.1,284,18,2,3.8954,63.37,251.326,3.002
240.21,112,314,17,1,2.5061,106.51,240.215,3.588
471.7,43.7,582,35,9,6.4458,43.7,471.685,1.975
150.22,20.2,115,11,1,2.6897,20.23,150.221,1.707
299.6,39.4,281,17,4,4.1041,39.44,299.581,1.874
344.4,76,401,25,8,3.501,75.99,344.407,2.157
128.21,12.5,112,9,2,2.2115,12.53,128.215,1.416
73.14,26,25.1,5,0,0.7436,26.02,73.139,2.972
239.31,72.7,227,17,5,1.306,72.72,239.315,2.559
291.4,41.5,294,21,7,3.472,41.49,291.435,2.362
194.23,35.5,187,14,4,2.5735,35.53,194.23,2.283
90.19,1,25.1,5,0,1.7147,0,90.191,1.28
340.4,43.5,384,25,8,3.5677,43.52,340.419,1.491
212.24,52.6,240,15,8,1.471,52.6,212.245,1.499
190.2,105,183,13,6,0.2032,104.64,190.199,1.88
170.3,52,155,12,1,1.6313,52.04,170.3,2.384
183.68,26,137,12,2,2.6198,26.02,183.682,2.866
84.12,20.2,83.4,6,1,0.3905,20.23,84.118,1.635
110.15,20.2,142,8,1,0.9467,20.23,110.156,2.264
136.19,20.2,101,10,1,1.914,20.23,136.194,2.02
150.22,20.2,112,11,2,2,20.23,150.221,2.07
361.8,75.6,452,25,7,3.5545,75.63,361.825,1.946
98.14,17.1,96.7,7,1,1.5416,17.07,98.145,1.943
100.12,37.3,98.6,7,1,1.0372,37.3,100.117,1.449
262.34,43.4,462,19,3,3.571,43.37,262.349,2.446
328.4,43.4,642,24,7,4.5582,43.37,328.452,3.101
320.4,40.6,462,24,4,3.9539,40.62,320.392,2.378
154.25,20.2,154,11,4,2.6698,20.23,154.253,1.743
58.08,17.1,26.3,4,0,0.5953,17.07,58.08,1.001
263.33,46.6,325,19,4,3.4232,46.61,263.337,2.62
178.23,26.3,167,13,3,2.55642,26.3,178.231,1.649
178.23,26.3,157,13,4,2.3858,26.3,178.231,1.796
223.07,72.2,170,11,2,0.6008,72.19,223.07,2.348
451.5,68.6,650,33,10,6.62798,68.55,451.469,3.829
86.13,17.1,55,6,1,1.2314,17.07,86.134,2.765
154.25,20.2,170,11,1,2.5037,20.23,154.253,2.074
136.23,0,170,10,1,3.3089,0,136.238,1.504
251.35,82.6,359,17,2,2.7521,58.64,251.355,1.392
150.22,20.2,120,11,1,2.82402,20.23,150.221,2.268
222.24,59,256,16,3,2.922,58.97,222.244,2.745
145.2,23.8,155,11,1,2.68168,23.79,145.205,1.571
150.22,20.2,101,11,2,2.3023,20.23,150.221,2.168
206.28,32.3,206,15,2,2.9035,32.34,206.289,2.053
177.29,26,135,13,2,3.5156,26.02,177.291,1.743
207.27,29.5,214,15,3,2.8704,29.54,207.273,3.112
120.19,0,68.1,9,1,2.81,0,120.195,1.934
135.21,26,98.9,10,1,2.3922,26.02,135.21,2.059
136.23,0,170,10,1,3.3089,0,136.238,1.572
152.23,17.1,189,11,1,2.5678,17.07,152.237,1.793
154.25,17.1,149,11,1,2.6477,17.07,154.253,2.489
156.26,20.2,120,11,1,2.4395,20.23,156.269,1.691
142.24,17.1,91.3,10,4,2.6477,17.07,142.242,1.393
466.5,121,881,33,9,1.6927,120.89,466.527,5.238
100.16,17.1,64.6,7,2,1.6215,17.07,100.161,1.683
186.33,20.2,118,13,6,3.4657,20.23,186.339,1.04
212.37,9.2,151,15,9,4.6351,9.23,212.377,2.241
102.17,20.2,41.4,7,2,1.4133,20.23,102.177,1.596
